Algorithm,Level,Status,Time (s),Metric Type,Metric Value
LAMA First,Level 7,Branching,1.6988,Avg Branching,3.506884021735507
LAMA First,Level 7,SUCCESS,1.6988,Solution Length,89
A* (Manhattan),Level 8,Memory,0.0005,Max Stored Nodes,47
A* (Manhattan),Level 8,Branching,0.0005,Avg Branching,6.0
A* (Manhattan),Level 8,Branching,0.0005,Max Branching,9
A* (Manhattan),Level 8,SUCCESS,0.0005,Nodes Expanded,4
A* (Manhattan),Level 8,SUCCESS,0.0005,Solution Length,3
A* (Real Maze),Level 8,Memory,0.0005,Max Stored Nodes,47
A* (Real Maze),Level 8,Branching,0.0005,Avg Branching,6.0
A* (Real Maze),Level 8,Branching,0.0005,Max Branching,9
A* (Real Maze),Level 8,SUCCESS,0.0005,Nodes Expanded,4
A* (Real Maze),Level 8,SUCCESS,0.0005,Solution Length,3
A* (New Real Maze),Level 8,Memory,0.0007,Max Stored Nodes,47
A* (New Real Maze),Level 8,Branching,0.0007,Avg Branching,6.0
A* (New Real Maze),Level 8,Branching,0.0007,Max Branching,9
A* (New Real Maze),Level 8,SUCCESS,0.0007,Nodes Expanded,4
A* (New Real Maze),Level 8,SUCCESS,0.0007,Solution Length,3
A* (Hungarian),Level 8,Memory,0.0013,Max Stored Nodes,47
A* (Hungarian),Level 8,Branching,0.0013,Avg Branching,6.0
A* (Hungarian),Level 8,Branching,0.0013,Max Branching,9
A* (Hungarian),Level 8,SUCCESS,0.0013,Nodes Expanded,4
A* (Hungarian),Level 8,SUCCESS,0.0013,Solution Length,3
A* (Fast Distance),Level 8,Memory,0.0008,Max Stored Nodes,47
A* (Fast Distance),Level 8,Branching,0.0008,Avg Branching,6.0
A* (Fast Distance),Level 8,Branching,0.0008,Max Branching,9
A* (Fast Distance),Level 8,SUCCESS,0.0008,Nodes Expanded,4
A* (Fast Distance),Level 8,SUCCESS,0.0008,Solution Length,3
A* (Exact Distance),Level 8,Memory,0.0006,Max Stored Nodes,47
A* (Exact Distance),Level 8,Branching,0.0006,Avg Branching,6.0
A* (Exact Distance),Level 8,Branching,0.0006,Max Branching,9
A* (Exact Distance),Level 8,SUCCESS,0.0006,Nodes Expanded,4
A* (Exact Distance),Level 8,SUCCESS,0.0006,Solution Length,3
A* (Satisficing),Level 8,Memory,0.0006,Max Stored Nodes,47
A* (Satisficing),Level 8,Branching,0.0006,Avg Branching,6.0
A* (Satisficing),Level 8,Branching,0.0006,Max Branching,9
A* (Satisficing),Level 8,SUCCESS,0.0006,Nodes Expanded,4
A* (Satisficing),Level 8,SUCCESS,0.0006,Solution Length,3
Fast Downward,Level 8,Metrics,0.1340,Nodes Expanded,32
Fast Downward,Level 8,Branching,0.1340,Avg Branching,3.25
Fast Downward,Level 8,SUCCESS,0.1340,Solution Length,13
LAMA First,Level 8,Metrics,0.5772,Nodes Expanded,25
LAMA First,Level 8,Branching,0.5772,Avg Branching,3.16
LAMA First,Level 8,SUCCESS,0.5772,Solution Length,13
A* (Manhattan),Level 9,Memory,0.0006,Max Stored Nodes,22
A* (Manhattan),Level 9,Branching,0.0006,Avg Branching,4.0
A* (Manhattan),Level 9,Branching,0.0006,Max Branching,6
A* (Manhattan),Level 9,SUCCESS,0.0006,Nodes Expanded,3
A* (Manhattan),Level 9,SUCCESS,0.0006,Solution Length,2
A* (Real Maze),Level 9,Memory,0.0003,Max Stored Nodes,22
A* (Real Maze),Level 9,Branching,0.0003,Avg Branching,4.0
A* (Real Maze),Level 9,Branching,0.0003,Max Branching,6
A* (Real Maze),Level 9,SUCCESS,0.0003,Nodes Expanded,3
A* (Real Maze),Level 9,SUCCESS,0.0003,Solution Length,2
A* (New Real Maze),Level 9,Memory,0.0004,Max Stored Nodes,22
A* (New Real Maze),Level 9,Branching,0.0004,Avg Branching,4.0
A* (New Real Maze),Level 9,Branching,0.0004,Max Branching,6
A* (New Real Maze),Level 9,SUCCESS,0.0004,Nodes Expanded,3
A* (New Real Maze),Level 9,SUCCESS,0.0004,Solution Length,2
A* (Hungarian),Level 9,Memory,0.0010,Max Stored Nodes,22
A* (Hungarian),Level 9,Branching,0.0010,Avg Branching,4.0
A* (Hungarian),Level 9,Branching,0.0010,Max Branching,6
A* (Hungarian),Level 9,SUCCESS,0.0010,Nodes Expanded,3
A* (Hungarian),Level 9,SUCCESS,0.0010,Solution Length,2
A* (Fast Distance),Level 9,Memory,0.0008,Max Stored Nodes,22
A* (Fast Distance),Level 9,Branching,0.0008,Avg Branching,4.0
A* (Fast Distance),Level 9,Branching,0.0008,Max Branching,6
A* (Fast Distance),Level 9,SUCCESS,0.0008,Nodes Expanded,3
A* (Fast Distance),Level 9,SUCCESS,0.0008,Solution Length,2
A* (Exact Distance),Level 9,Memory,0.0012,Max Stored Nodes,22
A* (Exact Distance),Level 9,Branching,0.0012,Avg Branching,4.0
A* (Exact Distance),Level 9,Branching,0.0012,Max Branching,6
